Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1994,34.9995040893555,37.8264694213867,,30.36940574646,27.190486907959,3.47343683242798,,
1995,36.1477737426758,38.6872520446777,,32.4504508972168,28.8571910858154,5.42734336853027,,
1996,37.2933235168457,39.5453186035156,57.6,34.5287704467773,30.5211772918701,7.37853050231934,,
1997,38.435474395752,40.3999824523926,69.4833526611328,36.6036949157715,32.2,9.32631778717041,,
1998,40.7,41.2505683898926,64.9,42.6,33.8382682800293,14.5,,
1999,40.7067756652832,44.9,71.331787109375,40.7405395507813,36.2,13.2088918685913,,
2000,41.0,43.2,72.4,43.7,37.7,15.2,,12.7
2001,46.2,43.9,70.2,44.8,38.9,17.0,,10.2
2002,44.0,44.6,76.7,46.8,36.8,18.9,,11.9
2003,45.1,52.2,78.8,48.3,41.9,16.0,,13.5
2004,47.1,46.1,80.6,50.8,36.8,22.6,,15.2
2005,47.2,46.8,80.8,41.3,47.1,24.5,,14.0
2006,49.0,47.6,80.7,55.1,49.9,26.4,,18.6
2007,48.2,50.1,82.0,56.9,48.1,28.3,,20.3
2008,50.6,50.3,81.9,60.5,49.7,30.3,,22.0
2009,51.7,50.0,82.6,61.1,53.5,23.0,,23.7
2010,52.8,48.0,82.8,64.2,56.5,19.2,,25.5
2011,53.7,55.9,83.6,64.1,56.5,36.2,,23.0
2012,55.2,53.0,85.2,56.5,56.5,38.1,,29.0
2013,56.3,55.6,85.2,70.7,57.0,40.1,,30.8
2014,56.8,54.2,85.9,78.3,61.0,36.0,,27.2
2015,58.6,52.5,85.3,74.0,60.5,41.6,,29.0
2016,59.8,59.3,83.9,79.3,64.5,53.1,,42.9
2017,60.9,54.4,84.4,79.0,61.7,55.8,,44.3
2018,62.2,56.5,84.7,80.4,66.0,61.2,,44.8
2019,63.2,55.4,85.0,83.5,70.4,69.7,,48.0
2020,64.3,55.4,90.0,85.4,64.3,71.5,,51.1
2021,65.4,59.5,89.3,86.3,68.0,76.5,,54.2
2022,71.0,60.5,86.5,85.1,67.9,76.0,,55.4
2023,72.0,61.2,87.7,89.5,74.2,76.2,,55.4
