Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1995,,,61.603,56.662,57.336,55.856,51.713,48.156
1996,,,61.079,56.957,57.129,55.575,51.596,48.697
1997,,,60.538,57.241,57.107,55.478,51.498,49.21
1998,,,59.912,57.525,57.076,55.568,51.22,49.785
1999,,,59.19,57.835,57.315,55.866,51.273,49.486
2000,,,58.368,58.139,57.615,56.084,51.393,50.88
2001,,,57.161,58.403,58.158,56.501,51.428,51.428
2002,,,55.58,58.709,58.912,56.759,51.544,52.085
2003,,,54.245,59.014,59.474,57.369,51.443,52.877
2004,,,53.963,59.316,60.308,57.947,51.939,53.735
2005,,,53.914,59.638,60.98,58.51,52.432,54.364
2006,,,54.22,59.975,61.801,59.059,52.885,55.402
2007,,,54.948,60.282,62.653,59.407,53.452,56.566
2008,,,55.982,60.578,63.201,59.955,54.179,57.733
2009,,,57.413,60.928,63.751,60.483,54.744,58.715
2010,,,58.886,61.297,64.221,60.915,55.282,59.709
2011,,,60.602,61.617,64.799,61.283,55.972,60.595
2012,,,61.737,61.995,65.229,61.537,56.57,61.443
2013,,,62.388,62.397,65.638,61.729,57.057,62.161
2014,,,63.184,62.832,66.001,61.99,57.772,62.927
2015,,,64.053,63.175,66.451,62.279,58.281,63.592
2016,,,64.749,63.522,66.724,62.526,58.814,64.162
2017,,,65.422,63.829,67.059,62.725,59.315,64.766
2018,,,65.726,64.138,67.379,62.825,59.795,65.257
2019,,,66.071,64.455,67.668,62.939,60.274,65.741
2020,,,65.15,64.309,67.496,61.596,60.14,65.969
2021,,,62.01,64.286,66.868,61.225,60.29,65.33
2022,,,65.454,65.246,67.788,63.549,61.562,66.897
2023,,,66.139,65.498,68.683,63.646,61.944,67.315
2024,,,66.312,65.695,68.924,63.834,62.11,67.603
