Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1995,147.1,201.0,59.2,114.4,137.0,109.3,152.4,172.3
1996,148.2,198.1,60.9,112.5,137.8,108.0,150.9,165.6
1997,148.4,194.3,62.9,110.3,137.9,105.9,148.9,159.0
1998,147.8,189.4,65.8,107.4,136.7,103.0,146.4,152.5
1999,146.4,183.6,68.7,103.9,133.8,99.5,143.6,146.3
2000,143.9,177.3,71.4,99.9,128.9,95.2,140.4,140.1
2001,141.0,170.5,74.5,95.8,121.7,90.5,136.9,133.8
2002,137.6,163.9,77.0,91.9,113.2,85.6,133.1,127.4
2003,134.3,157.4,79.2,88.2,104.2,80.8,129.2,121.0
2004,130.9,151.4,80.7,85.0,95.5,76.1,125.3,114.6
2005,127.6,145.8,79.8,82.0,87.6,71.2,121.2,108.3
2006,124.2,140.9,76.9,79.1,80.8,66.8,117.4,102.4
2007,120.8,136.5,71.2,76.2,75.0,62.9,113.5,96.9
2008,117.2,132.5,63.7,73.1,70.1,58.0,109.0,91.8
2009,113.7,129.2,56.9,69.8,66.1,55.2,105.2,87.1
2010,109.5,126.3,50.3,66.5,62.8,53.1,101.6,82.7
2011,105.2,123.8,45.6,63.3,60.0,51.7,98.4,78.6
2012,100.8,121.6,43.1,60.3,57.6,50.7,95.3,74.8
2013,96.5,119.9,41.4,57.5,55.5,49.4,92.0,71.2
2014,92.4,118.7,39.7,54.9,53.7,48.3,88.6,67.7
2015,88.5,117.8,38.2,52.5,52.2,46.8,85.5,64.4
2016,85.1,117.4,36.8,50.3,50.8,45.5,83.0,61.3
2017,81.9,117.2,35.7,48.2,49.4,44.7,80.5,58.4
2018,78.9,117.2,34.9,46.1,47.9,43.7,77.9,55.8
2019,76.6,117.4,34.3,44.1,46.2,42.7,75.3,53.6
2020,74.4,117.4,33.9,42.2,44.2,42.1,73.0,51.5
2021,71.9,117.6,34.0,40.3,42.2,41.3,70.8,70.4
2022,69.4,117.5,34.3,38.6,40.1,40.5,68.7,68.1
2023,67.0,116.8,34.8,37.2,38.2,39.6,66.5,51.5
2024,64.8,115.6,35.1,35.9,36.5,38.8,64.5,44.5
