Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1995,832.006674487689,1271.61617353199,3855.6340871567,371.537243033836,714.994396357297,340.064842175429,740.4730999133,136.523619088963
1996,826.965322327363,1632.72469370276,3617.55336002932,389.271267898831,723.469950081149,440.527078880876,1170.23622049666,147.327458851964
1997,783.251601945462,1720.27540949396,3700.23554789867,377.841935501461,650.776321407448,466.723814611399,1124.65674867927,143.369531498844
1998,798.745621406677,1822.46998452473,3309.60933087472,400.366799508524,684.588105785786,487.883239905452,1177.37133815342,126.465095781244
1999,796.262649784591,480.669363941805,3242.36830483958,403.037326127273,677.516338727268,433.721235701305,1096.13520587572,120.734631499865
2000,708.565731625965,547.318298903379,3217.84693448467,253.746936203344,603.233162455158,414.626365130846,936.636541348798,122.269202606069
2001,715.470296470585,566.428231812933,2847.15191945908,263.542156494853,637.213530563724,410.700452474814,924.727294962066,118.457204255261
2002,789.623811072554,712.164852077686,2688.23676032806,297.46164468774,669.430447319209,402.936385605382,967.815864415991,109.593813612988
2003,988.241276791846,763.388745367223,4062.21755993786,358.39927142073,817.888034221442,442.898457253405,1111.17135087887,116.800491132777
2004,1133.39326749673,962.48104194733,5221.46333731721,406.132105329565,918.102079522155,463.662781300121,1199.82524528546,133.169812538096
2005,1142.62466252106,1211.37703504386,5836.87663325127,478.611909191028,979.846101520171,523.456312433863,1197.74616979415,158.243458082465
2006,1191.45458990968,1599.53891556365,6077.38293388876,906.441027564887,1017.20196747987,699.80237063381,1230.43056838584,189.345737521418
2007,1325.67248215933,1815.52697545827,6591.85535960564,1050.12461524926,1188.93877808175,840.201439476765,1367.53817722326,237.146255996319
2008,1492.14269801453,2154.10543545364,6184.75474328399,1182.65761256016,1398.79218010021,915.54435473604,1583.97066701372,316.410475118075
2009,1461.38999232337,1820.48633854782,6374.70560042992,1047.70430093586,1308.69404336205,1047.9678324485,1540.45393569596,368.574712267445
2010,1398.58702025047,2202.25672957344,7973.47195771517,1263.89251760539,1275.88357492357,1091.51873101194,1553.54887048143,330.619412798644
2011,1513.96056994878,2418.41316975875,8646.05571071635,1507.43573198753,1374.67591873844,1096.14499807675,1596.62826565998,343.024942351887
2012,1449.09874362279,2633.19734671361,8076.97678479741,1543.77524235764,1326.83798848379,1285.00536171512,1546.9460184731,452.101031885754
2013,1575.92882118897,2872.79083379398,7331.65467384919,2294.79584693743,1379.83196553924,1370.87885214659,1786.15862031324,484.039833104062
2014,1649.4433905949,3088.72131316169,6856.73137092522,1949.90832923846,1398.89137601382,1482.81566253497,1991.36539423404,549.986577082588
2015,1415.00009710569,2585.73360671797,6112.27382485974,1722.77282833606,1218.00613555438,1489.11959777284,1814.71855088017,597.912113218663
2016,1441.7201725688,2070.4127339595,5651.20585165749,1912.47991339951,1266.43957151587,1554.12610314423,1862.59597081287,641.651523286233
2017,1496.08951771242,1876.34027111773,6618.33508255701,2012.28662641265,1356.80518449031,1667.48447230835,1964.29930338343,696.348429076216
2018,1610.69641591017,2057.87944554011,6914.1780318076,2195.32166016377,1452.55612562445,1836.45275528993,2130.86619381144,739.702022272086
2019,1555.22660476477,3189.81286498516,6533.71121032856,2186.65822682613,1431.18128932159,1960.40808854893,2141.76836170115,793.473247210264
2020,1555.60370660749,2797.18458068686,5580.60383075189,2195.45481659987,1461.08720350553,1927.66459027849,2179.72934832935,829.790982547947
2021,1672.32657340872,2787.48779224428,6828.75624590017,2445.18662529344,1598.10676952274,2061.35622089594,2455.98127641148,893.00983544905
2022,1604.87726954895,2899.16047470324,6534.24867783397,2229.89122647803,1574.0281059306,2109.56288513137,2333.37128301259,982.103161506992
2023,1720.47510154506,2138.76383719983,6034.27208964673,2383.90410483418,1698.03387300843,1942.58802756191,2591.9659048119,1055.81091592527
2024,1830.00833684727,1084.16041805436,6267.186814093,2390.77237652715,1773.21829923448,2132.43452097647,2727.8935220697,1133.88279681719
