Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1976,41.2200012207031,,,,,,,
1980,,,76.1999969482422,,,,,
1988,,,,,26.8700008392334,,34.1399993896484,
1991,,55.4500007629395,,,,,,
1994,,,,,,,,27.0100002288818
1996,,,82.4000015258789,,,,,
1998,,,,,,,36.3499984741211,
2000,68.4100036621094,,,57.9000015258789,,,48.7400016784668,
2002,,,,,39.2799987792969,,,
2003,,54.7700004577637,,,,,,
2004,,,,,,,,35.9000015258789
2006,,70.1999969482422,,,41.8899993896484,,,
2007,70.6800003051758,,88.7200012207031,,,,,39.0
2009,,,92.8899993896484,,48.0400009155273,,,
2010,71.1900024414062,,92.879997253418,71.5,,,,
2011,,,93.0999984741211,,51.810001373291,,,
2012,,,93.7300033569336,,,,,
2013,,,,,43.5299987792969,,,48.3549726348554
2014,,,94.1399993896484,,,,43.9099998474121,
2015,,,94.370002746582,60.1981035367761,43.5900001525879,,,
2016,,58.2200012207031,91.7399978637695,,46.0999984741211,,50.0400009155273,47.4900016784668
2017,,,,64.4899978637695,51.9000015258789,,,
2018,72.5500030517578,,,,46.6100006103516,,,
2019,,,95.0199966430664,,46.8300018310547,,56.9592400560829,55.0499992370605
2021,,63.1599998474121,90.0,76.4899978637695,,,50.0,54.8853699463392
2022,,,,,,,,60.4599990844727
2023,,,,,50.3600006103516,,,
2024,,70.4100036621094,91.1500015258789,,,,,
